,Captions to exclude
0,119792
1,119793
2,119788
3,119789
4,119796
5,119798
6,119787
7,150929
8,150937
9,150938
10,46325
11,46322
12,46329
13,188782
14,118145
15,118146
16,118147
17,118157
18,118158
19,118142
20,118151
21,118153
22,118159
23,118141
24,118140
25,181780
26,181787
27,181792
28,122783
29,7658
30,7650
31,7652
32,7653
33,7654
34,143610
35,143601
36,143611
37,143609
38,143618
39,143615
40,71781
41,71792
42,71790
43,71795
44,188494
45,188489
46,188483
47,188486
48,188493
49,188490
50,188487
51,4973
52,4960
53,4970
54,4972
55,4963
56,4967
57,4971
58,4969
59,21143
60,21159
61,21154
62,21140
63,21144
64,21156
65,21147
66,10620
67,10622
68,10630
69,10638
70,10639
71,10628
72,10633
73,10624
74,10625
75,10627
76,10637
77,151793
78,151783
79,151785
80,151798
81,77984
82,77990
83,77991
84,124041
85,124045
86,124042
87,124049
88,124051
89,124052
90,124056
91,124058
92,124050
93,124044
94,21340
95,21341
96,21342
97,21343
98,21344
99,21351
100,21352
101,21354
102,21355
103,21356
104,21357
105,21347
106,26620
107,26624
108,26625
109,79507
110,79501
111,79503
112,79519
113,79505
114,79509
115,87793
116,71189
117,71187
118,71193
119,14767
120,14768
121,14777
122,114253
123,114258
124,114250
125,122167
126,122177
127,122176
128,122164
129,122165
130,122166
131,122168
132,122173
133,122170
134,122174
135,144858
136,81560
137,81562
138,100641
139,100652
140,100659
141,100651
142,100657
143,100646
144,100655
145,100643
146,100648
147,141260
148,141268
149,141261
150,131850
151,41340
152,41348
153,41354
154,41341
155,41345
156,41353
157,41358
158,41346
159,41359
160,32861
161,32862
162,32863
163,32864
164,32866
165,32867
166,32869
167,32873
168,32875
169,32876
170,32877
171,32878
172,32872
173,82707
174,82714
175,82705
176,82708
177,82709
178,16223
179,16226
180,16231
181,30816
182,30803
183,30812
184,30804
185,30807
186,30809
187,30808
188,30819
189,558
190,556
191,41507
192,41512
193,41506
194,41508
195,41511
196,41518
197,49584
198,100154
199,153171
200,153166
201,153174
202,153172
203,153173
204,193981
205,193991
206,137066
207,108490
208,108491
209,108481
210,108492
211,108483
212,108495
213,108484
214,191941
215,191942
216,57700
217,57706
218,57707
219,57709
220,57712
221,57713
