,Captions to exclude
0,179350
1,152546
2,152550
3,141698
4,85507
5,85516
6,85515
7,97208
8,97216
9,97206
10,97207
11,176934
12,176933
13,176939
14,176922
15,176938
16,78970
17,78971
18,40482
19,40480
20,40489
21,40498
22,195128
23,195130
24,195137
25,195125
26,195127
27,195124
28,195123
29,155029
30,155039
31,155025
32,32071
33,32065
34,32060
35,32069
36,32073
37,32068
38,32070
39,32076
40,32075
41,32061
42,32078
43,51966
44,51962
45,97357
46,36770
47,36762
48,36774
49,36763
50,36761
51,36769
52,94436
53,94423
54,94427
55,26415
56,26401
57,26406
58,26411
59,26416
60,13166
61,61528
62,65549
63,65541
64,65545
65,65543
66,36088
67,36082
68,36091
69,36095
70,36081
71,36083
72,36087
73,36089
74,36090
75,36080
76,182189
77,182197
78,182187
79,191084
80,191091
81,191080
82,191094
83,191099
84,122016
85,33848
86,33854
87,33853
88,33845
89,33852
90,33849
91,33855
92,33856
93,33851
94,33846
95,33847
96,33858
97,33859
98,33850
99,168553
100,168552
101,130003
102,148405
103,148411
104,148408
105,148415
106,148404
107,148412
108,148407
109,148406
110,148419
111,148401
112,12696
113,12690
114,12683
115,12695
116,12687
117,142607
118,151606
119,125147
120,125150
121,189009
122,189014
123,189019
124,189016
125,184322
126,184326
127,153524
128,153522
129,153520
130,153531
131,125311
132,125316
133,125300
134,125314
135,125313
136,29617
137,29611
138,29615
139,165379
140,165372
141,165362
142,165369
143,165373
144,35788
145,35789
146,144237
147,176313
148,176307
149,176308
150,114541
151,114544
152,115463
153,115460
154,115472
155,115469
156,42475
157,42461
158,42471
159,175075
160,175079
161,43024
162,43035
163,43036
164,168650
165,168644
166,168657
167,168643
168,168648
169,168651
170,168655
171,168642
172,168640
173,168647
174,136922
175,136926
176,136929
177,136924
178,136934
179,136925
180,136936
181,136937
182,136928
183,136939
184,136927
185,136933
186,136938
187,134195
188,119445
189,119457
190,119451
191,119458
192,119456
193,11104
194,11116
195,11103
196,165418
197,165417
198,165400
199,165404
200,165407
201,165410
202,165409
203,165415
204,165413
205,165419
206,165411
207,165416
208,165405
209,145811
210,145818
211,145810
212,145802
213,145805
214,145816
215,145803
216,21068
217,21077
218,133095
219,133081
220,133080
221,133082
222,133094
223,133088
224,133097
225,133083
226,133085
227,133086
228,116964
229,116968
230,116960
231,116963
