,Captions to exclude
0,35910
1,35812
2,21500
3,170286
4,139905
5,194384
6,39035
7,96169
8,44430
9,175651
10,140666
11,164317
12,64901
13,86903
14,22819
15,84703
16,145109
17,171572
18,27484
19,572
20,37558
21,84642
22,26005
23,160586
24,87500
25,4692
26,133000
27,164291
28,6633
29,161688
30,149576
31,102274
32,151256
33,42589
34,131338
35,37053
36,1777
37,44645
38,170765
39,45482
40,151813
41,84132
42,67506
43,178997
44,59195
45,83127
46,93526
47,126795
48,150340
49,33568
50,98315
51,149468
52,8627
53,48875
54,121303
55,7585
56,175650
57,15110
58,179156
59,55607
60,130971
61,8808
62,169099
63,2999
64,137952
65,35717
66,193944
67,34782
68,184307
69,45491
70,92908
71,21728
72,17858
73,81073
74,58914
75,39195
76,3141
77,14805
78,27931
79,169307
80,128094
81,68244
82,124584
83,126359
84,58353
85,120894
86,193729
87,169045
88,71221
89,75265
90,46508
91,116698
92,105165
93,52443
94,48790
95,144502
96,195554
97,74763
98,78155
99,49711
100,68556
101,89169
102,167620
103,103876
104,28102
105,88909
106,183650
107,156290
108,76106
109,105715
110,183387
111,29589
112,173913
113,77551
114,78026
115,85075
116,98505
117,159462
118,191387
119,99292
120,102029
121,7883
122,72252
123,177314
124,175056
125,143285
126,53016
127,78476
128,159896
129,84067
130,137621
131,110890
132,179908
133,41586
134,676
135,1008
136,68944
137,154362
138,123040
139,173623
140,44742
141,122564
142,24214
143,122143
144,137393
145,63696
146,102264
147,8185
148,185147
149,184569
150,193876
151,172146
152,147363
153,156530
154,87457
155,171492
156,139124
157,71632
158,173816
159,38097
160,130727
161,114790
162,167964
163,146738
164,198835
165,70302
166,95285
167,178568
168,62721
169,192231
170,174762
171,189183
172,185217
173,181171
174,130900
175,93621
176,114781
177,34412
178,194322
179,127450
180,111080
181,91726
182,49563
183,99655
184,120847
185,98793
186,113514
187,188042
188,43313
189,53004
190,62925
191,139890
192,127049
193,177283
194,109868
195,151392
196,167196
197,122193
198,159835
199,141133
200,147148
201,40934
202,156276
203,4983
204,161846
205,46761
206,91640
207,121808
208,140908
209,193756
210,189731
211,61934
212,84822
213,81563
214,134946
215,138199
216,19238
217,168366
218,139413
219,140477
220,164281
221,87270
222,156888
223,3868
224,39589
225,104615
226,119835
227,132510
228,196089
229,169953
